# NOTE: cost=0 (params=0, memory=0) の correct ネットは score=25.0(満点)。公式 max(1,25-ln(cost)) は cost<=1 で 25 上限。
task,cost,correct,score,secs
task309,10,1,22.6974,0.2
task310,868,1,18.2338,0.4
task311,22,1,21.9090,0.2
task312,10,1,22.6974,0.7
task313,152,1,19.9761,6.2
task314,19,1,22.0556,0.2
task315,154,1,19.9630,10.0
task316,312,1,19.2570,0.3
task317,64,1,20.8411,0.3
task318,84,1,20.5692,0.2
task319,3437,1,16.8576,0.7
task320,80,1,20.6180,0.4
task321,165,1,19.8941,0.2
task322,107,1,20.3272,0.2
task323,260,1,19.4393,0.7
task324,711,1,18.4333,1.2
task325,445,1,18.9019,14.0
task326,4,1,23.6137,0.2
task327,149,1,19.9961,0.4
task328,580,1,18.6370,201.6
task329,129,1,20.1402,1.9
task330,1728,1,17.5453,0.2
task331,216,1,19.6247,0.6
task332,80,1,20.6180,2.8
task333,690,1,18.4633,7.1
task334,50,1,21.0880,0.2
task335,123,1,20.1878,58.5
task336,128,1,20.1480,0.4
task337,10,1,22.6974,0.2
task338,964,1,18.1289,22.5
task339,59,1,20.9225,0.2
task340,2079,1,17.3604,0.4
task341,983,1,18.1094,0.3
task342,457,1,18.8753,0.4
task343,179,1,19.8126,0.3
task344,909,1,18.1877,0.2
task345,547,1,18.6956,0.4
task346,116,1,20.2464,0.2
task347,56,1,20.9746,0.2
task348,173,1,19.8467,0.8
task349,4945,1,16.4939,0.6
task350,122,1,20.1960,49.2
task351,226,1,19.5795,0.4
task352,145,1,20.0233,2.4
task353,118,1,20.2293,0.3
task354,1535,1,17.6637,0.3
task355,1501,1,17.6861,0.5
task356,244,1,19.5028,105.0
task357,271,1,19.3979,0.2
task358,292,1,19.3232,118.5
task359,100,1,20.3948,40.3
task360,124,1,20.1797,6.8
task361,2037,1,17.3808,0.6
task362,115,1,20.2551,0.4
task363,2446,1,17.1978,0.3
task364,1182,1,17.9250,11.5
task365,2251,1,17.2809,0.7
task366,9381,1,15.8536,3.4
task367,3691,1,16.7863,0.4
task368,1002,1,18.0902,0.3
task369,362,1,19.1084,0.3
task370,3630,1,16.8030,0.4
task371,160,1,19.9248,0.3
task372,12,1,22.5151,0.2
task373,8,1,22.9206,0.2
task374,816,1,18.2956,0.4
task375,76,1,20.6693,2.0
task376,161,1,19.9186,0.2
task377,646,1,18.5292,0.7
task378,1744,1,17.5361,0.4
task379,3020,1,16.9870,2.4
task380,60,1,20.9057,2.0
task381,120,1,20.2125,2.1
task382,1127,1,17.9727,0.5
task383,714,1,18.4291,0.7
task384,322,1,19.2254,0.3
task385,30,1,21.5988,0.2
task386,77,1,20.6562,0.2
task387,758,1,18.3693,0.5
task388,327,1,19.2100,0.4
task389,39,1,21.3364,0.3
task390,108,1,20.3179,37.9
task391,156,1,19.9501,0.2
task392,386,1,19.0442,0.3
task393,123,1,20.1878,0.2
task394,551,1,18.6883,0.3
task395,66,1,20.8103,0.2
task396,1931,1,17.4342,0.4
task397,1251,1,17.8683,0.5
task398,827,1,18.2822,0.4
task399,43,1,21.2388,0.2
task400,225,1,19.5839,0.4
