rank,task,hash,cost,score,archetype
60,task117,4c5c2cf0,605,18.5948,conway_sprite|diagonally_connected|flip_horiz
61,task165,6d58a25d,587,18.6250,random_pixels
62,task238,9aec4887,562,18.6685,conway_sprite
63,task328,d22278a0,553,18.6846,
64,task066,2dd70a9a,551,18.6883,transpose
65,task035,1f642eb9,544,18.7011,
66,task354,ddf7fa4f,536,18.7159,
67,task019,10fcaaa3,535,18.7177,
68,task237,99fa7670,529,18.7290,
69,task069,321b1fc6,524,18.7385,all_pixels|connected|overlaps
70,task378,ec883f72,522,18.7423,draw
71,task368,e76a88a6,521,18.7442,
72,task284,b7249182,517,18.7520,transpose
73,task363,e5062a87,512,18.7617,conway_sprite|diagonally_connected
74,task034,1f0c79e5,511,18.7636,
75,task156,694f12f3,499,18.7874,
76,task270,ae3edfdc,495,18.7954,
77,task102,44d8ac46,493,18.7995,overlaps
78,task374,ea32f347,481,18.8241,
79,task025,1a07d186,474,18.8388,random_pixels|transpose
80,task250,a48eeaf7,468,18.8515,
81,task062,2bcee788,462,18.8644,flip_horiz|transpose
82,task310,c909285e,458,18.8731,
83,task324,d07ae81c,435,18.9247,all_pixels|remove_diagonal_neighbors
84,task308,c8cbb738,433,18.9293,
85,task008,05f2a901,431,18.9339,rectangle_nibbles|transpose
86,task275,b190f7f5,428,18.9409,all_pixels|diagonally_connected
87,task134,5ad4f10b,422,18.9550,conway_sprite|random_pixels
88,task333,d43fd935,421,18.9574,random_pixels
89,task184,780d0b14,421,18.9574,
90,task268,aba27056,420,18.9597,draw|transpose
91,task112,4938f0c2,419,18.9621,random_pixels
92,task168,6e19193c,414,18.9741,
93,task377,eb5a1d5d,409,18.9863,
94,task109,47c1f68c,405,18.9961,conway_sprite
95,task338,d5d6de2d,403,19.0011,overlaps
96,task279,b2862040,397,19.0161,draw|overlaps|remove_neighbors
97,task160,6c434453,396,19.0186,get_pixel
98,task099,444801d8,389,19.0364,
99,task345,d9f24cd1,389,19.0364,
100,task245,a1570a43,384,19.0494,conway_sprite
101,task239,9af7a82c,384,19.0494,
102,task170,6ecd11f4,382,19.0546,conway_sprite|diagonally_connected|get_pixel
103,task222,91714a58,380,19.0598,get_pixel|random_pixels
104,task048,239be575,379,19.0625,overlaps|random_pixels
105,task226,941d9a10,370,19.0865,
106,task297,bd4472b8,361,19.1111,
107,task234,98cf29f8,361,19.1111,transpose
108,task092,40853293,357,19.1223,
109,task014,0b148d64,356,19.1251,random_pixels
110,task013,0a938d79,352,19.1364,transpose
111,task394,f9012d9b,350,19.1421,
112,task398,feca6190,346,19.1536,
113,task200,8403a5d5,346,19.1536,
114,task264,a8c38be5,343,19.1623,overlaps
115,task225,93b581b8,331,19.1979,draw
116,task218,90c28cc7,329,19.2039,
117,task392,f8c80d96,327,19.2100,draw
118,task075,363442ee,327,19.2100,all_pixels
119,task397,fcc82909,324,19.2193,
120,task387,f35d900a,324,19.2193,
121,task132,56ff96f3,312,19.2570,overlaps
122,task037,1f876c06,309,19.2667,
123,task036,1f85a75f,307,19.2732,connected|random_pixels
124,task388,f5b8619d,305,19.2797,all_pixels
125,task228,952a094c,291,19.3267,
126,task159,6b9890af,287,19.3405,conway_sprite|diagonally_connected
127,task185,7837ac64,279,19.3688,create_linegrid|diagonally_connected
128,task051,25d487eb,278,19.3724,apply_gravity
129,task064,2c608aff,271,19.3979,random_pixels
130,task123,539a4f51,266,19.4165,
