kind,i,value_ns
sample,77200,125
sample,77300,83
sample,77400,209
sample,77500,125
sample,77600,125
sample,77700,41
sample,77800,41
sample,77900,42
sample,78000,0
cumavg,78000,698
sample,78100,42
sample,78200,41
sample,78300,41
sample,78400,0
sample,78500,0
sample,78600,42
sample,78700,42
sample,78800,41
sample,78900,41
sample,79000,41
cumavg,79000,690
sample,79100,0
sample,79200,42
sample,79300,0
sample,79400,42
sample,79500,0
sample,79600,42
sample,79700,0
sample,79800,41
sample,79900,0
sample,80000,125
cumavg,80000,682
sample,80100,42
sample,80200,0
sample,80300,42
sample,80400,125
sample,80500,41
sample,80600,83
spike,80656,150834
sample,80700,0
sample,80800,83
sample,80900,42
sample,81000,83
cumavg,81000,677
sample,81100,42
sample,81200,41
sample,81300,42
sample,81400,41
sample,81500,84
sample,81600,0
sample,81700,0
sample,81800,41
sample,81900,41
sample,82000,0
cumavg,82000,669
sample,82100,42
sample,82200,41
sample,82300,83
sample,82400,0
sample,82500,41
sample,82600,41
sample,82700,42
sample,82800,42
sample,82900,42
sample,83000,42
cumavg,83000,661
sample,83100,42
sample,83200,42
sample,83300,41
sample,83400,41
sample,83500,0
sample,83600,41
sample,83700,41
sample,83800,0
sample,83900,41
sample,84000,0
cumavg,84000,654
spike,84066,1204208
sample,84100,41
sample,84200,42
sample,84300,41
sample,84400,42
sample,84500,125
sample,84600,83
sample,84700,41
sample,84800,0
sample,84900,42
sample,85000,41
cumavg,85000,661
sample,85100,42
sample,85200,0
sample,85300,42
sample,85400,42
sample,85500,41
sample,85600,42
sample,85700,42
sample,85800,42
sample,85900,42
sample,86000,42
cumavg,86000,654
sample,86100,0
sample,86200,0
sample,86300,42
sample,86400,42
sample,86500,0
sample,86600,42
sample,86700,0
sample,86800,0
sample,86900,83
sample,87000,0
cumavg,87000,647
sample,87100,0
sample,87200,0
sample,87300,42
sample,87400,0
sample,87500,0
sample,87600,84
sample,87700,42
rehash,87720,175447
spike,87720,6421542
sample,87800,42
sample,87900,0
sample,88000,42
cumavg,88000,713
sample,88100,41
sample,88200,0
sample,88300,42
spike,88358,199833
sample,88400,0
sample,88500,42
sample,88600,42
sample,88700,42
sample,88800,41
sample,88900,42
sample,89000,42
cumavg,89000,707
sample,89100,0
sample,89200,42
sample,89300,41
sample,89400,0
sample,89500,42
sample,89600,41
sample,89700,0
sample,89800,41
sample,89900,0
sample,90000,167
cumavg,90000,700
sample,90100,42
sample,90200,42
sample,90300,41
sample,90400,42
sample,90500,41
sample,90600,42
sample,90700,0
sample,90800,41
sample,90900,42
sample,91000,0
cumavg,91000,693
sample,91100,42
sample,91200,0
sample,91300,0
sample,91400,0
sample,91500,0
sample,91600,0
