rank,task,hash,cost,score,archetype
205,task015,0ca9ddb6,150,19.9894,all_pixels
206,task180,75b8110e,150,19.9894,random_pixels
207,task119,508bd3b6,147,20.0096,apply_gravity
208,task057,28bf18c6,146,20.0164,conway_sprite|diagonally_connected
209,task271,ae4f1146,146,20.0164,all_pixels
210,task094,41e4d17e,144,20.0302,
211,task121,5117e062,144,20.0302,conway_sprite|overlaps
212,task257,a68b268e,143,20.0372,random_pixels
213,task136,5c0a986e,142,20.0442,
214,task220,913fb3ed,142,20.0442,overlaps
215,task151,67a423a3,140,20.0584,transpose
216,task295,bbc9ae5d,140,20.0584,
217,task391,f8b3ba0a,140,20.0584,
218,task074,3631a71a,138,20.0727,draw|get_pixel
219,task214,8e5a5113,138,20.0727,
220,task315,cce03e0d,138,20.0727,all_pixels
221,task085,3bdb4ada,136,20.0873,
222,task266,a9f96cdd,136,20.0873,draw
223,task313,caa06a1f,136,20.0873,
224,task256,a65b410d,135,20.0947,
225,task369,e8593010,134,20.1022,
226,task127,54d9e175,132,20.1172,
227,task049,23b5c85d,131,20.1248,
228,task038,1fad071e,128,20.1480,get_pixel|overlaps
229,task083,3af2c5a8,128,20.1480,random_pixels
230,task108,46f33fce,128,20.1480,all_pixels
231,task011,09629e4f,126,20.1637,all_pixels|hollywood_squares
232,task217,8f2ea7aa,126,20.1637,conway_sprite
233,task213,8e1813be,125,20.1717,transpose
234,task290,b94a9452,123,20.1878,
235,task149,6773b310,122,20.1960,all_pixels|hollywood_squares
236,task321,cf98881b,122,20.1960,random_pixels
237,task393,f8ff0b80,121,20.2042,continuous_creature|overlaps
238,task072,3428a4f5,120,20.2125,random_pixels
239,task232,97999447,120,20.2125,
240,task253,a61ba2ce,120,20.2125,overlaps
241,task260,a78176bb,120,20.2125,
242,task207,88a62173,118,20.2293,
243,task084,3bd67248,116,20.2464,
244,task194,7fe24cdd,116,20.2464,all_pixels
245,task287,b8825c91,115,20.2551,
246,task288,b8cdaf2b,115,20.2551,
247,task004,025d127b,114,20.2638,
248,task230,95990924,114,20.2638,overlaps
249,task246,a2fd1cf0,114,20.2638,hpwl
250,task327,d13f3404,114,20.2638,all_pixels
251,task346,d9fac9be,114,20.2638,random_pixels
252,task097,42a50994,113,20.2726,
253,task282,b60334d2,112,20.2815,overlaps
254,task323,d06dbe63,112,20.2815,
255,task331,d364b489,112,20.2815,all_pixels
256,task335,d4a91cb9,111,20.2905,hpwl
257,task353,dc433765,111,20.2905,
258,task154,6855a6e4,110,20.2995,diagonally_connected|random_pixels|transpose
259,task350,dbc1a6ce,108,20.3179,random_pixels
260,task033,1e32b0e9,106,20.3366,hollywood_squares
261,task060,29c11459,104,20.3556,
262,task001,007bbfb7,102,20.3750,all_pixels
263,task177,7468f01a,102,20.3750,continuous_creature
264,task352,dc1df850,100,20.3948,draw
265,task146,662c240a,99,20.4049,
266,task390,f8a8fe49,99,20.4049,diagonally_connected|random_pixels|transpose
267,task027,1b60fb0c,96,20.4357,continuous_creature
268,task111,48d8fb45,96,20.4357,conway_sprite|diagonally_connected
269,task252,a5f85a15,96,20.4357,
270,task329,d23f8c26,96,20.4357,
271,task351,dc0a314f,96,20.4357,
272,task272,aedd82e4,95,20.4461,edgefree_pixels|random_pixels
273,task032,1e0a9b12,94,20.4567,
274,task058,28e73c20,94,20.4567,
275,task242,9ecd008a,92,20.4782,
276,task336,d4f3cd78,92,20.4782,apply_gravity
277,task362,e48d4e1a,92,20.4782,
278,task371,e9614598,92,20.4782,transpose
